term,gene
PWY-5097,FEK30_RS08510
UDPNAGSYN-PWY,FEK30_RS02835
UDPNAGSYN-PWY,FEK30_RS09850
UDPNAGSYN-PWY,FEK30_RS06330
UDPNAGSYN-PWY,FEK30_RS09555
PWY-2301,FEK30_RS07205
PWY-8043,FEK30_RS09835
PWY-8043,FEK30_RS03490
PWY-8138,FEK30_RS01690
PWY490-4,FEK30_RS12115
PWY490-4,FEK30_RS09235
PWY490-4,FEK30_RS02310
PWY490-4,FEK30_RS11295
PWY490-4,FEK30_RS11005
PWY490-4,FEK30_RS02140
PWY490-4,FEK30_RS02055
PWY490-4,FEK30_RS12455
PWY490-4,FEK30_RS02260
PWY490-4,FEK30_RS08870
PWY490-4,FEK30_RS01525
PWY490-4,FEK30_RS13145
PWY490-4,FEK30_RS14820
GLCMANNANAUT-PWY,FEK30_RS03785
GLCMANNANAUT-PWY,FEK30_RS04045
PWY-6964,FEK30_RS12435
PWY-6964,FEK30_RS05300
TRPSYN-PWY,FEK30_RS10935
TRPSYN-PWY,FEK30_RS03920
TRPSYN-PWY,FEK30_RS15240
TRPSYN-PWY,FEK30_RS13145
TRPSYN-PWY,FEK30_RS08870
TRPSYN-PWY,FEK30_RS06895
TRPSYN-PWY,FEK30_RS05540
PWY0-1264,FEK30_RS04465
PWY0-1264,FEK30_RS14885
PWY0-1264,FEK30_RS04305
PWY-7226,FEK30_RS10945
PWY-7226,FEK30_RS05990
PWY-7226,FEK30_RS08165
PWY-6628,FEK30_RS09830
PWY-6628,FEK30_RS13565
PWY-6628,FEK30_RS14975
PWY-6628,FEK30_RS04890
PWY-6628,FEK30_RS02205
PWY-6628,FEK30_RS12990
PWY-6628,FEK30_RS02250
PWY-6628,FEK30_RS01580
PWY-6628,FEK30_RS02325
PWY-6628,FEK30_RS15175
PWY0-1299,FEK30_RS13480
PWY-6164,FEK30_RS09830
PWY-6164,FEK30_RS13565
PWY-8294,FEK30_RS14485
PWY-8294,FEK30_RS12435
PWY-8294,FEK30_RS05300
PWY-6121,FEK30_RS06835
PWY-6121,FEK30_RS11225
PWY-6121,FEK30_RS04050
PWY-6121,FEK30_RS14430
PWY-6121,FEK30_RS12025
PWY-6121,FEK30_RS12020
PWY-6121,FEK30_RS12675
PWY-6121,FEK30_RS05795
PWY-8260,FEK30_RS15170
PWY-5509,FEK30_RS03575
PWY-5844,FEK30_RS08860
COA-PWY,FEK30_RS05640
COA-PWY,FEK30_RS03220
COA-PWY,FEK30_RS11325
PWY-5087,FEK30_RS07750
PWY-7250,FEK30_RS13495
PWY-7250,FEK30_RS08710
PWY-3001,FEK30_RS15175
PWY-3001,FEK30_RS10510
PWY-3001,FEK30_RS10550
PWY-3001,FEK30_RS14905
PWY-3001,FEK30_RS04500
PWY-3001,FEK30_RS11205
PWY-3001,FEK30_RS05490
PWY-3001,FEK30_RS07360
PWY-3001,FEK30_RS13755
PWY-3001,FEK30_RS10565
PWY-3001,FEK30_RS03655
PWY-3001,FEK30_RS03175
PWY-3001,FEK30_RS03500
PWY-3001,FEK30_RS12365
PWY-6756,FEK30_RS04585
THISYN-PWY,FEK30_RS04145
THISYN-PWY,FEK30_RS08260
THISYN-PWY,FEK30_RS10445
THISYN-PWY,FEK30_RS05455
THISYN-PWY,FEK30_RS02095
THISYN-PWY,FEK30_RS17170
THISYN-PWY,FEK30_RS09965
THISYN-PWY,FEK30_RS05895
THISYN-PWY,FEK30_RS13495
THISYN-PWY,FEK30_RS08710
PWY-7560,FEK30_RS09965
PWY-7560,FEK30_RS08185
PWY-7560,FEK30_RS09935
PWY-7560,FEK30_RS07820
PWY-7560,FEK30_RS06670
PWY-7560,FEK30_RS01645
PWY-7560,FEK30_RS13855
PWY-7560,FEK30_RS09800
PROSYN-PWY,FEK30_RS13925
PROSYN-PWY,FEK30_RS07005
PROSYN-PWY,FEK30_RS02735
PROSYN-PWY,FEK30_RS13355
PWY-5971,FEK30_RS06715
PWY-5971,FEK30_RS09245
PWY-5971,FEK30_RS09360
PWY-5971,FEK30_RS01395
PWY-5971,FEK30_RS12725
PWY-5971,FEK30_RS04395
PWY-5971,FEK30_RS07480
PWY-6893,FEK30_RS10445
PWY-6893,FEK30_RS05455
PWY-6893,FEK30_RS02095
PHOTOALL-PWY,FEK30_RS15220
PHOTOALL-PWY,FEK30_RS15060
PHOTOALL-PWY,FEK30_RS12095
PHOTOALL-PWY,FEK30_RS11280
PHOTOALL-PWY,FEK30_RS04825
PHOTOALL-PWY,FEK30_RS04600
PHOTOALL-PWY,FEK30_RS02295
PHOTOALL-PWY,FEK30_RS13130
PHOTOALL-PWY,FEK30_RS12310
PHOTOALL-PWY,FEK30_RS10930
PHOTOALL-PWY,FEK30_RS10745
PHOTOALL-PWY,FEK30_RS10465
PHOTOALL-PWY,FEK30_RS09600
PHOTOALL-PWY,FEK30_RS09485
PHOTOALL-PWY,FEK30_RS08140
PHOTOALL-PWY,FEK30_RS08135
